f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"135,048136","-120,35","5,323","5,285","0,3491","132,943386"
"133,230936","69,63","5,881","5,888","0,3148","132,943386"
"133,083129","74,13","5,896","5,9","0,3114","132,943386"
"133,011353","71,87","5,884","5,899","0,3105","132,943386"
"133,046009","71,85","5,862","5,882","0,3169","132,943386"
"133,050404","71,35","5,862","5,888","0,3163","132,943386"
"133,043934","70,9","5,867","5,897","0,3157","132,943386"
"141,50198","157,36","4,354","4,428","0,2057","132,943386"
"137,722053","-116,87","4,509","5,13","0,5902","132,943386"
"136,417169","110,84","4,793","5,467","0,2423","132,943386"
"133,106736","73,11","5,881","5,863","0,3013","132,943386"
"133,016378","72,02","5,882","5,893","0,3102","132,943386"
"133,014858","72,05","5,878","5,898","0,3113","132,943386"
"146,441095","-30,46","5,085","5,898","0,7936","132,943386"
"139,642041","-33,96","4,584","5,898","0,4611","132,943386"
"134,757617","76,98","5,824","4,771","0,2581","132,943386"
"132,993589","72,01","5,852","5,872","0,2886","132,943386"
"133,001426","72,06","5,848","5,863","0,2915","132,943386"
"133,07399","74,03","5,855","5,859","0,2881","132,943386"
"145,424961","175,85","3,293","5,882","0,7283","132,943386"
"135,706116","-78,13","5,675","4,498","0,5445","132,943386"
"136,453678","-99,5","5,427","5,582","0,2037","132,943386"
"132,972051","70,64","5,837","5,893","0,2896","132,943386"
"133,004508","71,88","5,821","5,872","0,294","132,943386"
"133,121282","72,52","5,817","5,894","0,2924","132,943386"
"133,247003","69,02","5,82","5,864","0,2883","132,943386"
"132,977901","70,49","5,851","5,9","0,29","132,943386"
"132,99982","71,13","5,834","5,899","0,2897","132,943386"
"148,431484","96,11","2,075","5,812","0,5446","132,943386"
"137,545874","-167,71","4,475","5,752","0,2127","132,943386"
"137,660433","134,85","4,648","4,697","0,3387","132,943386"
"133,005238","70,99","5,885","5,895","0,2944","132,943386"
"133,020328","71,05","5,869","5,879","0,2925","132,943386"
"133,146975","72,33","5,856","5,886","0,2907","132,943386"
"145,645132","-2,94","3,53","3,844","0,705","132,943386"
"141,595379","175,7","3,453","5,883","0,5092","132,943386"
"135,168212","-95,22","5,791","4,923","0,4415","132,943386"
"133,023388","70,96","5,847","5,853","0,2947","132,943386"
"133,15127","72,44","5,879","5,894","0,3118","132,943386"
"133,194839","69,95","5,847","5,89","0,2912","132,943386"
"148,635305","158,92","5,578","2,448","0,3146","132,943386"
"140,499358","-101,06","4,423","4,55","0,2348","132,943386"
"136,116854","-115,99","4,69","5,804","0,4406","132,943386"
"133,058048","71,65","5,9","5,807","0,2926","132,943386"
"133,140693","72,51","5,843","5,848","0,2929","132,943386"
"132,998094","70,54","5,881","5,869","0,2937","132,943386"
"133,19553","70,26","5,838","5,899","0,2874","132,943386"
"133,005234","71,12","5,842","5,886","0,2894","132,943386"
"132,976162","70,55","5,837","5,894","0,2891","132,943386"
"142,159054","128,31","5,498","4,107","0,7277","132,943386"
"137,284979","107,07","5,411","4,726","0,6031","132,943386"
"133,928164","63,94","5,655","5,069","0,3385","132,943386"
"133,163416","72,65","5,897","5,821","0,2857","132,943386"
"132,995938","71,26","5,841","5,897","0,2897","132,943386"
"133,223583","69,36","5,884","5,84","0,2922","132,943386"
"144,023545","-139,17","3,054","4,824","0,3763","132,943386"
"139,295906","-174,96","5,179","5,054","0,4741","132,943386"
"135,916626","100,21","4,289","5,429","0,4434","132,943386"
"133,200946","70,32","5,846","5,896","0,3092","132,943386"
"133,00918","71,18","5,88","5,887","0,2952","132,943386"
"133,039955","70,94","5,861","5,862","0,2965","132,943386"
"138,950877","77,9","4,134","4,635","0,764","132,943386"
"137,864147","97,62","3,535","5,796","0,6103","132,943386"
"133,654583","74,06","5,08","5,555","0,2997","132,943386"
"133,795084","78,98","5,589","5,404","0,3025","132,943386"
"133,00616","71,84","5,849","5,869","0,2895","132,943386"
"133,122797","72,48","5,879","5,893","0,2969","132,943386"
"133,204374","69,55","5,847","5,898","0,2907","132,943386"
"133,196013","70,1","5,842","5,895","0,2901","132,943386"
"132,971885","70,65","5,832","5,89","0,2895","132,943386"
"141,395554","-28,66","4,298","3,908","0,5458","132,943386"
"137,251144","-163,07","4,291","5,704","0,3534","132,943386"
"135,95828","-142,67","5,622","5,006","0,2521","132,943386"
"132,964679","70,42","5,898","5,898","0,2927","132,943386"
"133,082186","72,95","5,897","5,899","0,2914","132,943386"
"133,02298","71,39","5,837","5,853","0,2961","132,943386"
"143,072297","164,17","4,658","5,324","0,6846","132,943386"
"139,475554","8,26","4,981","4,331","0,4257","132,943386"
"135,494381","87,58","5,355","4,539","0,3964","132,943386"
"133,639109","77,89","5,389","5,737","0,3276","132,943386"
"133,00848","71,19","5,897","5,886","0,2927","132,943386"
"133,025251","71,12","5,885","5,871","0,2924","132,943386"
"146,973477","-150,15","2,409","5,072","0,5759","132,943386"
"137,158393","175,44","5,855","4,394","0,2352","132,943386"
"135,48449","122,09","5,898","5,361","0,2146","132,943386"
"133,214456","69,4","5,9","5,873","0,2986","132,943386"
"133,022269","71,74","5,884","5,846","0,2936","132,943386"
"133,017485","70,92","5,84","5,899","0,2896","132,943386"
"133,186083","70,23","5,9","5,897","0,2928","132,943386"
"132,963259","70,53","5,896","5,9","0,2924","132,943386"
"132,969724","70,52","5,9","5,899","0,2928","132,943386"
"139,697556","168,1","5,836","3,722","0,4003","132,943386"
"143,408523","-173,24","5,635","5,027","0,6595","132,943386"
"136,032434","-108,79","5,306","5,261","0,5286","132,943386"
"133,027905","70,78","5,871","5,78","0,3003","132,943386"
"133,038867","71,84","5,848","5,806","0,2993","132,943386"
"132,972515","70,65","5,897","5,899","0,2926","132,943386"
"138,612008","29,39","4,915","5,068","0,206","132,943386"
"137,56295","-139,43","5,551","4,005","0,3768","132,943386"
"134,625724","-118,82","5,878","5,89","0,2853","132,943386"
"133,025181","72,03","5,896","5,814","0,2987","132,943386"
"133,037222","72,02","5,889","5,808","0,2979","132,943386"
"133,041159","72,17","5,863","5,786","0,2999","132,943386"
"141,235076","-26,12","3,743","4,681","0,3735","132,943386"
"135,028713","75,13","5,878","5,616","0,5554","132,943386"
