f(x),orientation,winE,winW,transmitance
133.165122,72.78,5.449,5.85,0.3301
133.069116,70.47,5.471,5.87,0.3331
133.279405,70.14,5.449,5.88,0.3317
141.211587,127.33,4.317,5.82,0.7999
139.254577,153.96,4.714,5.864,0.5082
135.071838,91.55,4.633,5.839,0.2644
133.372831,81.99,5.649,5.897,0.3232
133.070585,72.21,5.439,5.857,0.3386
133.081505,71.8,5.457,5.873,0.3331
144.520977,125.49,5.596,3.235,0.7254
144.973645,0.79,4.261,4.173,0.7878
135.931517,50.98,5.844,5.897,0.4756
133.054411,72.18,5.466,5.863,0.3334
133.081182,71.46,5.481,5.863,0.3323
133.078561,71.06,5.454,5.869,0.3324
141.606994,54.41,3.157,4.549,0.6015
139.511401,-128.99,5.713,3.343,0.5137
134.465178,52.9,5.87,5.059,0.288
133.06377,72.16,5.443,5.845,0.3345
133.05862,72.21,5.491,5.869,0.3354
133.087623,71.25,5.468,5.868,0.3345
133.07678,71.25,5.464,5.878,0.3302
133.076949,71.0,5.458,5.877,0.3311
133.083993,70.91,5.447,5.875,0.3318
158.748657,-152.49,1.598,5.736,0.2041
138.561152,-38.68,4.728,5.221,0.2642
134.425285,83.9,4.661,5.868,0.3455
133.104316,71.74,5.48,5.857,0.3418
133.071891,71.81,5.472,5.88,0.3335
133.076349,70.96,5.454,5.876,0.3321
149.620662,-76.31,5.805,2.426,0.2037
139.340919,105.38,5.276,4.545,0.7993
134.172477,-78.52,5.825,5.793,0.3873
133.145795,73.31,5.493,5.845,0.3329
